,id_A,wc_A,feature_A,us_weld_dist_A,wt_A,depth_A,length_A,width_A,orientation_A,pressure_1_A,pressure_2_A,joint_length_A,lat_A,lng_A,comments_A,us_weld_id_A,us_weld_dist_coord_A,us_weld_dist_wc_A,h_dist_A,orientation_x_A,orientation_y_A,id_B,wc_B,feature_B,us_weld_dist_B,wt_B,depth_B,length_B,width_B,orientation_B,pressure_1_B,pressure_2_B,joint_length_B,lat_B,lng_B,comments_B,us_weld_id_B,us_weld_dist_coord_B,us_weld_dist_wc_B,h_dist_B,orientation_x_B,orientation_y_B,pipe_section,section_sequence
1303,13140,56709.136,WELD,,0.219,,,,,,,44.9890000000014,32.43962829,-104.14355326,,13140.0,0.0,0.0,284.0654760283887,,,13140,57086.908,WELD,,0.219,,,,,,,45.22700000000623,32.43962829,-104.14355326,,13140.0,0.0,0.0,284.0654760283887,,,1303,200
1304,13150,56754.136,WELD,,0.219,,,,,,,45.0,32.43974491,-104.14360308,,13150.0,0.0,0.0,284.07923947605167,,,13150,57132.107,WELD,,0.219,,,,,,,45.199000000000524,32.43974491,-104.14360308,,13150.0,0.0,0.0,284.07923947605167,,,1304,200
1305,13160,56799.125,WELD,,0.219,,,,,,,44.9890000000014,32.43986164,-104.14365244,,13160.0,0.0,0.0,284.09299731348864,,,13160,57177.315,WELD,,0.219,,,,,,,45.20799999999872,32.43986164,-104.14365244,,13160.0,0.0,0.0,284.09299731348864,,,1305,200
1306,13170,56844.125,WELD,,0.219,,,,,,,45.0,32.43997829,-104.14370212,,13170.0,0.0,0.0,284.106758696704,,,13170,57222.534,WELD,,0.219,,,,,,,45.21899999999732,32.43997829,-104.14370212,,13170.0,0.0,0.0,284.106758696704,,,1306,200
1307,13180,56889.125,WELD,,0.219,,,,,,,45.0,32.440095,-104.14375173,,13180.0,0.0,0.0,284.1205236536626,,,13180,57267.747,WELD,,0.219,,,,,,,45.213000000003376,32.440095,-104.14375173,,13180.0,0.0,0.0,284.1205236536626,,,1307,200
1308,13190,56934.092,WELD,,0.219,,,,,,,44.966999999996915,32.44021127,-104.14380234,,13190.0,0.0,0.0,284.1342802441155,,,13190,57312.921,WELD,,0.219,,,,,,,45.17399999999907,32.44021127,-104.14380234,,13190.0,0.0,0.0,284.1342802441155,,,1308,200
1309,13200,56979.071,WELD,,0.219,,,,,,,44.979000000006636,32.44032764,-104.14385274,,13200.0,0.0,0.0,284.1480393682733,,,13200,57358.155,WELD,,0.219,,,,,,,45.23399999999674,32.44032764,-104.14385274,,13200.0,0.0,0.0,284.1480393682733,,,1309,200
1310,13210,57024.038,WELD,,0.219,,,,,,,44.966999999996915,32.4404442,-104.14390244,,13210.0,0.0,0.0,284.16179227015664,,,13210,57403.339,WELD,,0.219,,,,,,,45.184000000001106,32.4404442,-104.14390244,,13210.0,0.0,0.0,284.16179227015664,,,1310,200
1311,13220,57068.983,WELD,,0.219,,,,,,,44.94499999999971,32.44056071,-104.14395207,,13220.0,0.0,0.0,284.1755374868459,,,13220,57448.562,WELD,,0.219,,,,,,,45.22299999999814,32.44056071,-104.14395207,,13220.0,0.0,0.0,284.1755374868459,,,1311,200
1312,13230,57113.961,WELD,,0.219,,,,,,,44.978000000002794,32.44067724,-104.14400202,,13230.0,0.0,0.0,284.18929648410136,,,13230,57493.77,WELD,,0.219,,,,,,,45.20799999999872,32.44067724,-104.14400202,,13230.0,0.0,0.0,284.18929648410136,,,1312,200
1313,13240,57158.94,WELD,,0.219,,,,,,,44.97899999999936,32.44079369,-104.14405217,,13240.0,0.0,0.0,284.2030546259833,,,13240,57538.983,WELD,,0.219,,,,,,,45.213000000003376,32.44079369,-104.14405217,,13240.0,0.0,0.0,284.2030546259833,,,1313,200
1314,13250,57203.951,WELD,,0.219,,,,,,,45.0109999999986,32.4409099,-104.14410338,,13250.0,0.0,0.0,284.21682707052014,,,13250,57584.196,WELD,,0.219,,,,,,,45.213000000003376,32.4409099,-104.14410338,,13250.0,0.0,0.0,284.21682707052014,,,1314,200
