,id_A,feature_A,wc_A,wt_A,depth_in_A,length_in_A,width_in_A,joint_length_A,pressure_1_A,pressure_2_A,us_weld_dist_wc_ft_A,orientation_deg_A,orientation_x_A,orientation_y_A,comments_A,feature_category_A,id_B,feature_B,wc_B,wt_B,depth_in_B,length_in_B,width_in_B,joint_length_B,pressure_1_B,pressure_2_B,us_weld_dist_wc_ft_B,orientation_deg_B,orientation_x_B,orientation_y_B,comments_B,feature_category_B,pipe_section,section_sequence
275,2860,WELD,6096.847,0.0,,,,20.206999999999425,0.0,0.72,20.206999999999425,,,,,,2860,WELD,6128.168,0.0,,,,20.337999999999738,0.0,0.72,20.337999999999738,,,,,,274,-1
276,2870,WELD,6117.371,0.0,,,,20.524000000000342,0.0,0.72,20.524000000000342,,,,,,2870,WELD,6148.79,0.0,,,,20.6220000000003,0.0,0.72,20.6220000000003,,,,,,275,-1
351,20000397,METAL LOSS,6115.881,0.0,0.134,0.672,2.378,,,,19.03400000000056,93.0,-0.7850393436441576,14.979443021318607,Ext Metal Loss,metal loss / mill anomaly,20001082,METAL LOSS,6147.288,0.0,0.151,0.7,2.095,,,,19.11999999999989,81.0,2.346516975603464,14.815325108927066,Ext Metal Loss,metal loss / mill anomaly,275,0
1053,,,,,,,,,,,,,,,,,20001081,METAL LOSS,6128.772,0.0,0.152,0.916,0.78,,,,0.6040000000002692,360.0,15.0,-3.67394039744206e-15,Ext Metal Loss,metal loss / mill anomaly,275,0
352,20000398,METAL LOSS,6117.144,0.0,0.206,0.558,0.839,,,,20.29700000000048,69.0,5.375519243179506,14.003706397458027,Ext Metal Loss,metal loss / mill anomaly,20001085,METAL LOSS,6148.563,0.0,0.177,0.564,0.974,,,,20.395000000000437,64.0,6.5755672018361615,13.481910694487505,Ext Metal Loss,metal loss / mill anomaly,275,1
1054,,,,,,,,,,,,,,,,,20001083,METAL LOSS,6147.313,0.0,0.174,0.767,0.987,,,,19.145000000000437,127.0,-9.027225347280726,11.979532650709393,Ext Metal Loss,metal loss / mill anomaly,275,2
1055,,,,,,,,,,,,,,,,,20001084,METAL LOSS,6148.512,0.0,0.132,0.879,1.075,,,,20.34400000000005,310.0,9.641814145298088,-11.490666646784671,Ext Metal Loss,metal loss / mill anomaly,275,3
277,2880,WELD,6138.206,0.0,,,,20.835000000000036,0.0,0.72,20.835000000000036,,,,,,2880,WELD,6169.751,0.0,,,,20.96100000000024,0.0,0.72,20.96100000000024,,,,,,276,-1
1056,,,,,,,,,,,,,,,,,20001086,METAL LOSS,6159.429,0.0,0.128,0.853,0.976,,,,10.639000000000124,317.0,10.97030552428756,-10.229975400937473,Ext Metal Loss,metal loss / mill anomaly,276,0
1057,,,,,,,,,,,,,,,,,20001087,METAL LOSS,6160.601,0.0,0.128,0.87,1.235,,,,11.810999999999694,318.0,11.147172382160914,-10.036959095382873,Ext Metal Loss,metal loss / mill anomaly,276,1
