,A,id_A,wc_A,feature_A,us_weld_dist_wc_ft_A,wt_A,depth_in_A,length_in_A,width_in_A,orientation_deg_A,pressure_1_A,pressure_2_A,joint_length_A,lat_A,lng_A,comments_A,us_weld_id_A,feature_category_A,us_weld_dist_coord_m_A,pipe_section_A,section_sequence_A,orientation_x_A,orientation_y_A,h_dist_A,wc_norm_A,B,id_B,wc_B,feature_B,us_weld_dist_wc_ft_B,wt_B,depth_in_B,length_in_B,width_in_B,orientation_deg_B,pressure_1_B,pressure_2_B,joint_length_B,lat_B,lng_B,comments_B,us_weld_id_B,feature_category_B,us_weld_dist_coord_m_B,pipe_section_B,section_sequence_B,orientation_x_B,orientation_y_B,h_dist_B,wc_norm_B,match_score
56,2545,23350,99695.865,WELD,45.07699999999022,0.219,,,,,,,35.1420000000071,32.53974791,-104.21478125,,23360.0,,13.785531897651278,2325,0,,,296.9296712505351,99695.865,2562,23590,100337.257,WELD,45.021000000007916,0.219,,,,,,,35.096999999994296,32.53974791,-104.21478125,,23600.0,,13.785531897651278,2349,0,,,296.9296712505351,99992.48891009462,0.6661991205255523
57,2700,24680,105404.765,WELD,45.1420000000071,0.219,,,,,,,33.34100000000035,32.55388835,-104.22235161,,24690.0,,13.80278519939757,2458,0,,,298.65450439710895,105404.765,2714,24920,106043.755,WELD,45.00199999999313,0.219,,,,,,,33.33400000000256,32.55388835,-104.22235161,,24930.0,,13.80278519939757,2482,0,,,298.65450439710895,105679.38436774316,0.6666553454549837
58,2711,24770,105760.311,WELD,45.06500000000233,0.219,,,,,,,35.39299999999639,32.55483982,-104.22261751,,24780.0,,13.761733185665765,2467,0,,,298.7615009623753,105760.311,2728,25010,106398.483,WELD,45.021000000007916,0.219,,,,,,,35.30199999999604,32.55483982,-104.22261751,,25020.0,,13.761733185665765,2491,0,,,298.7615009623753,106032.89383219939,0.6647588300823953
59,2749,25080,107047.113,WELD,28.79899999999907,0.219,,,,,,,34.61800000000221,32.55828154,-104.2235809,,25090.0,,8.801311191792545,2498,0,,,299.1486029101021,107047.113,2764,25320,107683.724,WELD,28.73399999999674,0.219,,,,,,,34.63999999999942,32.55828154,-104.2235809,,25330.0,,8.801311191792545,2522,0,,,299.1486029101021,107313.71986681533,0.666554857677634
60,2750,25090,107075.912,WELD,45.120000000009895,0.219,,,,,,,28.79899999999907,32.55835855,-104.2236026,,25100.0,,13.795643283407601,2499,0,,,299.1572699908652,107075.912,2765,25330,107712.458,WELD,45.10000000000582,0.219,,,,,,,28.73399999999674,32.55835855,-104.2236026,,25340.0,,13.795643283407601,2523,0,,,299.1572699908652,107342.35516189123,0.6656919123907402
61,2755,25140,107287.92,WELD,45.05500000000757,0.219,,,,,,,31.572000000000116,32.5589255,-104.22376337,,25150.0,,13.775710071019695,2504,0,,,299.2211152218045,107287.92,2770,25380,107924.44,WELD,45.1359999999986,0.219,,,,,,,31.5570000000007,32.5589255,-104.22376337,,25390.0,,13.775710071019695,2528,0,,,299.2211152218045,107553.6089769111,0.6666146846817402
62,2810,25670,109524.035,WELD,45.09799999999814,0.219,,,,,,,28.112000000008265,32.56490755,-104.22544003,,25680.0,,13.788217950382299,2557,0,,,299.89405565125804,109524.035,2825,25910,110160.353,WELD,44.97699999999895,0.219,,,,,,,28.047000000005937,32.56490755,-104.22544003,,25920.0,,13.788217950382299,2581,0,,,299.89405565125804,109781.84133297204,0.6656919123907402
63,2814,25710,109686.131,WELD,45.10900000001129,0.219,,,,,,,26.757999999987078,32.56534103,-104.22556298,,25720.0,,13.79189466734542,2561,0,,,299.9428748474258,109686.131,2829,25950,110322.086,WELD,44.95900000000256,0.219,,,,,,,26.765999999988708,32.56534103,-104.22556298,,25960.0,,13.79189466734542,2585,0,,,299.9428748474258,109943.01875966208,0.666651879854793
64,2873,26280,112194.09,WELD,45.153000000005704,0.219,,,,,,,29.038999999989755,32.5722196,-104.22565948,,26290.0,,13.813670513556195,2618,0,,,300.64880420098893,112194.09,2887,26520,112826.271,WELD,45.0170000000071,0.219,,,,,,,28.985999999989872,32.5722196,-104.22565948,,26530.0,,13.813670513556195,2642,0,,,300.64880420098893,112438.6015674737,0.6660182812809633
65,2877,26320,112345.63,WELD,44.9890000000014,0.219,,,,,,,19.203000000008615,32.57263645,-104.22565258,,26330.0,,13.762595675768381,2622,0,,,300.69112126692784,112345.63,2891,26560,112977.721,WELD,44.99199999999837,0.219,,,,,,,19.20700000000943,32.57263645,-104.22565258,,26570.0,,13.762595675768381,2646,0,,,300.69112126692784,112589.5313175693,0.6666629699022014
