,wc_B,wc_A,lat_A,lat_B,lng_A,lng_B
317,13436.83,13344.841,32.34992974,32.34992974,-104.05255545,-104.05255545
318,13482.097,13389.776,32.35003468,32.35003468,-104.0526327,-104.0526327
319,13527.35,13434.71,32.35013933,32.35013933,-104.0527105,-104.0527105
320,13572.627,13479.666,32.35024398,32.35024398,-104.05278873,-104.05278873
321,13617.9,13524.623,32.35034862,32.35034862,-104.05286708,-104.05286708
322,13663.192,13569.568,32.35045302,32.35045302,-104.05294589,-104.05294589
323,13708.454,13614.514,32.35055753,32.35055753,-104.05302436,-104.05302436
324,13753.746,13659.481,32.3506623,32.3506623,-104.05310256,-104.05310256
325,13799.038,13704.426,32.3507674,32.3507674,-104.05318004,-104.05318004
326,13844.335,13749.383,32.35087216,32.35087216,-104.05325819,-104.05325819
327,13889.612,13794.372,32.35097683,32.35097683,-104.05333674,-104.05333674
328,13934.878,13839.306,32.3510814,32.3510814,-104.05341504,-104.05341504
329,13980.15,13884.284,32.35118585,32.35118585,-104.05349382,-104.05349382
330,14025.427,13929.263,32.35128997,32.35128997,-104.05357308,-104.05357308
331,14070.699,13974.197,32.35139433,32.35139433,-104.05365167,-104.05365167
332,14115.951,14019.132,32.35149952,32.35149952,-104.05372887,-104.05372887
333,14158.552,14061.413,32.35159843,32.35159843,-104.05380167,-104.05380167
334,14203.799,14106.37,32.35170344,32.35170344,-104.05387922,-104.05387922
335,14249.037,14151.293,32.35180772,32.35180772,-104.05395807,-104.05395807
336,14294.264,14196.239,32.35191193,32.35191193,-104.05403708,-104.05403708
337,14339.512,14241.217,32.35201645,32.35201645,-104.05411572,-104.05411572
338,14384.774,14286.162,32.3521215,32.3521215,-104.05419324,-104.05419324
339,14430.065,14331.119,32.35222667,32.35222667,-104.05427041,-104.05427041
340,14475.337,14376.053,32.35233121,32.35233121,-104.05434859,-104.05434859
341,14520.599,14420.999,32.35243547,32.35243547,-104.05442731,-104.05442731
342,14565.856,14465.911,32.35253965,32.35253965,-104.05450591,-104.05450591
343,14611.103,14510.846,32.35264421,32.35264421,-104.05458405,-104.05458405
344,14656.37,14555.791,32.35274835,32.35274835,-104.05466301,-104.05466301
345,14701.637,14600.737,32.35285256,32.35285256,-104.05474192,-104.05474192
346,14746.889,14645.682,32.35295705,32.35295705,-104.05482008,-104.05482008
347,14792.17,14690.617,32.35306111,32.35306111,-104.05489911,-104.05489911
348,14814.603,14712.855,32.35311265,32.35311265,-104.0549382,-104.0549382
349,14859.875,14757.778,32.35321728,32.35321728,-104.05501634,-104.05501634
350,14903.375,14800.977,32.35331806,32.35331806,-104.05509125,-104.05509125
351,14948.599,14845.89,32.35342234,32.35342234,-104.05517006,-104.05517006
352,14993.827,14890.846,32.35352655,32.35352655,-104.05524914,-104.05524914
353,15039.075,14935.791,32.35363103,32.35363103,-104.05532762,-104.05532762
354,15084.323,14980.726,32.35373542,32.35373542,-104.0554057,-104.0554057
355,15129.58,15025.693,32.35383975,32.35383975,-104.05548408,-104.05548408
356,15169.958,15065.78,32.35393278,32.35393278,-104.05555389,-104.05555389
357,15215.196,15110.715,32.35403688,32.35403688,-104.05563179,-104.05563179
358,15260.409,15155.617,32.35414117,32.35414117,-104.05570964,-104.05570964
359,15305.617,15200.497,32.35424563,32.35424563,-104.0557878,-104.0557878
360,15350.864,15245.431,32.35435015,32.35435015,-104.05586615,-104.05586615
361,15396.096,15290.388,32.35445474,32.35445474,-104.05594458,-104.05594458
362,15441.363,15335.344,32.35455948,32.35455948,-104.05602274,-104.05602274
363,15486.625,15380.278,32.35466421,32.35466421,-104.05610069,-104.05610069
364,15531.823,15425.158,32.35476904,32.35476904,-104.05617827,-104.05617827
365,15577.016,15470.049,32.3548727,32.3548727,-104.05625793,-104.05625793
366,15614.292,15507.069,32.3549588,32.3549588,-104.05632217,-104.05632217
